capturedAt,phase,signal,overallQuality,batteryPercent,connection,collecting,attention,focus,engagement,mentalFatigue,relaxation,stress,distraction,interest,excitement,thetaBeta,alphaBeta,betaAlpha,rbp_delta,rbp_theta,rbp_alpha,rbp_beta,rbp_gamma,bp_delta,bp_theta,bp_alpha,bp_beta,bp_gamma,ch_AF3,ch_F7,ch_F3,ch_FC5,ch_T7,ch_P7,ch_O1,ch_O2,ch_P8,ch_T8,ch_FC6,ch_F4,ch_F8,ch_AF4
2026-07-20T17:31:34.221150,text,0.9922,17.0,53.0,connected,True,20.257,15.751,24.0358,50.4624,60.4757,17.4299,76.83,27.1881,34.5435,3.810861,3.751403,0.266564,0.0,0.410572,0.404167,0.107736,0.077525,0.0,2.10592857,2.07307143,0.55260714,0.39764286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:34.721099,text,0.9922,17.0,53.0,connected,True,24.4025,22.1708,28.5269,59.6693,56.5557,28.2614,72.442,32.1864,40.7252,3.079422,2.207345,0.453028,0.0,0.441208,0.31626,0.143275,0.099257,0.0,1.96028571,1.40514286,0.63657143,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:35.221226,text,0.9922,17.0,53.0,connected,True,27.3771,28.5136,30.7887,67.7672,51.5404,40.6675,70.2251,34.2469,42.3163,2.592685,1.378587,0.725374,0.0,0.468492,0.249107,0.180697,0.101704,0.0,1.93535714,1.02907143,0.74646429,0.42014286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:35.725924,text,0.9922,17.0,53.0,connected,True,37.9781,37.7456,41.5494,62.526,48.476,47.3865,59.6119,44.2524,50.5595,1.688904,1.093006,0.914901,0.0,0.392928,0.254291,0.232652,0.120129,0.0,1.33592857,0.86457143,0.791,0.40842857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:36.220864,text,0.9922,17.0,53.0,connected,True,40.1501,37.8797,44.9658,59.906,49.1835,45.8916,56.2194,47.9579,54.9395,1.618196,1.150265,0.869358,0.0,0.367449,0.261194,0.227072,0.144285,0.0,1.34992857,0.95957143,0.83421429,0.53007143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:36.721215,text,0.9922,17.0,53.0,connected,True,7.0985,9.4777,8.8723,91.663,51.9636,39.6883,91.5083,12.5959,21.2842,10.951592,1.427145,0.700683,0.0,0.771599,0.10055,0.070454,0.057396,0.0,7.70885714,1.00457143,0.70389286,0.57342857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:37.221871,text,0.9922,17.0,53.0,connected,True,8.608,12.0176,9.5082,85.5706,54.4718,33.6292,90.897,11.7294,16.9121,8.092451,1.782229,0.561085,0.0,0.715809,0.157645,0.088453,0.038092,0.0,7.62664286,1.67964286,0.94242857,0.40585714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:37.721079,text,0.9922,17.0,53.0,connected,True,26.8628,24.5744,28.0157,52.078,56.8244,27.5481,72.9423,29.2689,32.193,2.441539,2.274895,0.439577,0.0,0.404892,0.377256,0.165834,0.052018,0.0,2.66757143,2.4855,1.09257143,0.34271429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:38.221210,text,0.9922,17.0,53.0,connected,True,25.544,28.8655,27.674,71.6037,50.0294,44.0604,73.2768,30.4864,37.0488,2.688696,1.224945,0.816355,0.0,0.503546,0.229411,0.187282,0.079762,0.0,1.91964286,0.87457143,0.71396429,0.30407143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:38.721517,text,0.9922,17.0,53.0,connected,True,21.4148,25.1409,24.9747,80.2672,48.1757,48.0108,75.9142,29.4457,39.8781,3.526412,1.069997,0.934571,0.0,0.563526,0.170987,0.1598,0.105687,0.0,2.2345,0.678,0.63364286,0.41907143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:39.221333,text,0.9922,17.0,53.0,connected,True,4.7164,6.5276,5.898,93.2659,53.9012,35.0462,94.3629,8.7287,15.3337,15.775635,1.689492,0.591876,0.0,0.818969,0.087707,0.051913,0.041411,0.0,13.48335714,1.444,0.85467857,0.68178571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:39.721245,text,0.9922,17.0,53.0,connected,True,2.9447,4.3307,3.5631,93.9216,56.7054,27.8637,96.5983,5.2694,9.2508,23.002153,2.244562,0.445504,0.0,0.854485,0.083381,0.037147,0.024987,0.0,21.04342857,2.05342857,0.91482143,0.61535714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:40.231957,text,0.9922,17.0,53.0,connected,True,4.7723,7.0014,5.423,89.7663,56.6644,27.9729,94.818,7.1982,11.3403,14.149941,2.234263,0.447563,0.0,0.791421,0.124965,0.05593,0.027684,0.0,12.11307143,1.91264286,0.85603571,0.42371429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:40.721609,text,0.9922,17.0,53.0,connected,True,12.2128,15.1948,13.941,80.3003,54.7057,33.0417,86.6251,17.0776,24.3962,6.017898,1.822739,0.548617,0.0,0.641722,0.194369,0.106635,0.057274,0.0,4.47692857,1.356,0.74392857,0.39957143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:41.221805,text,0.9922,17.0,53.0,connected,True,15.6592,19.7597,17.4331,80.6191,51.4873,40.7893,83.2473,20.5828,27.932,4.610796,1.372683,0.728491,0.0,0.618182,0.184039,0.134072,0.063708,0.0,2.99835714,0.89264286,0.65028571,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:41.723392,text,0.9922,17.0,53.0,connected,True,22.1186,22.2278,23.4868,59.9601,56.4761,28.472,77.3651,25.3207,29.5997,3.083972,2.187992,0.457036,0.0,0.465285,0.330106,0.150871,0.053738,0.0,2.2555,1.60021429,0.73135714,0.2605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:42.221526,text,0.9922,17.0,53.0,connected,True,32.5955,28.6212,34.8916,50.5858,55.4223,31.2179,66.1912,36.6709,40.8225,1.99645,1.957072,0.510963,0.0,0.37224,0.364898,0.18645,0.076411,0.0,1.28921429,1.26378571,0.64575,0.26464286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:42.734501,text,0.9922,17.0,53.0,connected,True,28.0479,32.6374,29.8398,73.5424,47.12,50.1594,71.1557,32.3592,38.2376,2.371557,0.994587,1.005433,0.0,0.500103,0.209734,0.210874,0.079288,0.0,1.64442857,0.68964286,0.69339286,0.26071429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:43.221527,text,0.9922,17.0,53.0,connected,True,27.5572,31.156,29.5155,71.2013,48.9315,46.428,71.4736,32.0982,38.1245,2.437698,1.129355,0.885453,0.0,0.491189,0.227561,0.201496,0.079754,0.0,1.71214286,0.79321429,0.70235714,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:43.721505,text,0.9922,17.0,53.0,connected,True,31.3254,33.6376,34.264,68.9076,48.4614,47.417,66.8093,37.258,44.2441,2.147547,1.091868,0.915854,0.0,0.454933,0.231299,0.211837,0.101931,0.0,1.25892857,0.64007143,0.58621429,0.28207143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:44.221036,text,0.9922,17.0,53.0,connected,True,21.8331,22.7389,24.0815,65.3956,55.0864,32.0774,76.7854,26.8663,33.3643,3.250093,1.892077,0.528514,0.0,0.491558,0.286166,0.151243,0.071033,0.0,1.777,1.0345,0.54675,0.25678571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:44.721295,text,0.9922,17.0,53.0,connected,True,17.1463,17.6668,19.7483,67.2935,57.1549,26.6638,81.0017,23.0625,30.7957,4.363376,2.363103,0.423167,0.0,0.524661,0.284144,0.120241,0.070953,0.0,2.15178571,1.16535714,0.49314286,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20T17:31:45.294810,text,0.9922,17.0,53.0,connected,True,18.5529,21.9192,20.5935,75.6786,52.3739,38.7277,80.1806,23.7363,31.0693,3.876068,1.476902,0.677085,0.0,0.567513,0.21624,0.146414,0.069834,0.0,2.64114286,1.00635714,0.68139286,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
